Word Gold_Standard Prediction
found O O
with O O
the O O
watches O O
and O O
disqualified O O
, O O
O B-ORG O
globo I-ORG O
said O O
. O O

chile B-LOC B-LOC
, O O
mexico B-LOC B-LOC
to O O
seek O O
to O O
broaden O O
trade O O
deal O O
. O O

SANTIAGO B-PER O
1996-12-05 O O

chile B-LOC B-LOC
and O O
mexico B-LOC B-LOC
will O O
start O O
negotiations O O
next O O
year O O
to O O
broaden O O
their O O
free O O
trade O O
agreement O O
to O O
include O O
services O O
and O O
investments O O
, O O
finance B-ORG O
minister O O
eduardo B-PER O
aninat I-PER O
said O O
. O O

chile B-LOC B-LOC
hopes O O
to O O
broaden O O
the O O
treaty O O
signed O O
in O O
1994 O O
beyond O O
reduction O O
of O O
tariffs O O
on O O
imports O O
and O O
exports O O
and O O
add O O
provisions O O
covering O O
services O O
and O O
investment O O
codes O O
, O O
said O O
aninat B-PER O
. O O

both O O
areas O O
tend O O
to O O
more O O
laden O O
with O O
friction O O
in O O
free O O
trade O O
negotiations O O
than O O
tariff O O
reduction O O
. O O

' O O
' O O
in O O
january O O
or O O
february O O
, O O
we O O
'll O O
have O O
some O O
very O O
close O O
contacts O O
with O O
mexico B-LOC B-LOC
to O O
add O O
the O O
issue O O
of O O
services O O
and O O
advance O O
on O O
the O O
issue O O
of O O
investments O O
, O O
' O O
' O O
aninat B-PER O
told O O
reporters O O
after O O
signing O O
a O O
free O O
trade O O
deal O O
with O O
canada B-LOC B-LOC
. O O

' O O
' O O
we O O
want O O
to O O
give O O
the O O
treaty O O
between O O
mexico B-LOC B-LOC
and O O
chile B-LOC B-LOC
greater O O
depth O O
and O O
coverage O O
than O O
it O O
has O O
now O O
. O O

it O O
's O O
very O O
good O O
now O O
, O O
but O O
it O O
practically O O
only O O
covers O O
trade O O
in O O
goods O O
, O O
' O O
' O O
he O O
said O O
. O O

aninat B-PER O
also O O
said O O
he O O
was O O
confident O O
the O O
chilean B-MISC O
congress O O
would O O
ratify O O
the O O
treaty O O
with O O
congress O O
quickly O O
. O O

' O O
' O O
the O O
reactions O O
from O O
business O O
and O O
unions O O
which O O
I O O
have O O
seen O O
have O O
been O O
almost O O
unanimously O O
positive O O
, O O
so O O
I O O
do O O
n't O O
see O O
any O O
problem O O
, O O
' O O
' O O
he O O
said O O
. O O

-- O O
roger B-PER B-PER
atwood I-PER O
, O O
santiago B-LOC O
newsroom O O
+56-2-699-5595 O O
x211 O O

indonesia B-LOC B-LOC
's O O
belo B-PER O
leaves O O
for O O
nobel B-MISC O
award O O
ceremony O O
. O O

DILI B-LOC O
, O O
east B-LOC O
timor I-LOC O
1996-12-06 O O

east B-MISC I-MISC
timorese I-MISC O
roman B-MISC B-LOC
catholic I-MISC I-PER
bishop O O
carlos B-PER B-PER
belo I-PER O
left O O
dili B-LOC O
on O O
friday O O
on O O
his O O
way O O
to O O
norway B-LOC O
for O O
the O O
awards O O
ceremony O O
as O O
co-recipient O O
of O O
the O O
1996 O O
nobel B-MISC O
peace I-MISC O
prize I-MISC O
. O O

witnesses O O
said O O
belo B-PER O
left O O
the O O
territory O O
for O O
the O O
indonesian B-MISC O
capital O O
jakarta B-LOC B-LOC
accompanied O O
by O O
five O O
other O O
people O O
. O O

it O O
was O O
not O O
immediately O O
known O O
when O O
he O O
would O O
arrive O O
in O O
oslo B-LOC O
. O O

the O O
bishop O O
will O O
jointly O O
receive O O
the O O
nobel B-MISC O
award O O
next O O
tuesday O O
with O O
east B-MISC O
timorese-born I-MISC O
activist O O
jose B-PER O
ramos I-PER O
horta I-PER O
, O O
who O O
lives O O
in O O
self-exile O O
in O O
australia B-LOC B-LOC
. O O

the O O
indonesian B-MISC B-MISC
government O O
has O O
condemned O O
the O O
inclusion O O
of O O
ramos B-PER O
horta I-PER O
in O O
the O O
award O O
, O O
and O O
foreign O O
minister O O
ali B-PER B-PER
alatas I-PER I-PER
said O O
on O O
friday O O
that O O
indonesia B-LOC O
would O O
not O O
be O O
represented O O
officially O O
at O O
the O O
ceremony O O
in O O
the O O
norwegian B-MISC O
capital O O
. O O

" O O
I O O
sincerely O O
believe O O
that O O
this O O
unfortunate O O
choice O O
in O O
giving O O
the O O
honour O O
to O O
such O O
a O O
controversial O O
figure O O
as O O
ramos B-PER O
horta I-PER O
... O O

will O O
exacerbate O O
the O O
problem O O
in O O
finding O O
a O O
solution O O
( O O
to O O
east B-LOC O
timor I-LOC O
) O O
, O O
" O O
alatas B-PER O
said O O
on O O
friday O O
. O O

he O O
was O O
responding O O
to O O
questions O O
at O O
a O O
news O O
conference O O
called O O
to O O
discuss O O
next O O
week O O
's O O
ministerial O O
meeting O O
of O O
the O O
organisation B-ORG O
of I-ORG O
the I-ORG O
islamic I-ORG O
conference I-ORG O
( O O
OIC B-ORG O
) O O
in O O
jakarta B-LOC B-LOC
. O O

ramos B-PER O
horta I-PER O
has O O
been O O
a O O
vocal O O
leader O O
of O O
the O O
opposition O O
to O O
jakarta B-LOC B-LOC
's O O
rule O O
in O O
the O O
territory O O
. O O

belo B-PER O
and O O
ramos B-PER O
horta I-PER O
were O O
awared O O
the O O
prize O O
for O O
their O O
efforts O O
to O O
secure O O
a O O
peaceful O O
solution O O
to O O
the O O
issue O O
of O O
east B-LOC O
timor I-LOC O
, O O
a O O
former O O
portuguese B-MISC O
colony O O
which O O
indonesia B-LOC O
invaded O O
in O O
1975 O O
and O O
annexed O O
the O O
following O O
year O O
. O O

the O O
united B-ORG B-LOC
nations I-ORG I-ORG
has O O
never O O
recognised O O
jakarta B-LOC O
's O O
move O O
. O O

alatas B-PER O
said O O
the O O
government O O
's O O
position O O
on O O
the O O
nobel B-MISC O
peace I-MISC O
prize I-MISC O
would O O
have O O
been O O
different O O
if O O
it O O
had O O
been O O
awarded O O
solely O O
to O O
belo B-PER O
. O O

asked O O
if O O
the O O
indonesian B-MISC O
ambassador O O
to O O
norway B-LOC B-LOC
would O O
have O O
attended O O
the O O
ceremony O O
if O O
only O O
belo B-PER O
had O O
been O O
involved O O
, O O
alatas B-PER O
replied O O
: O O
" O O
probably O O
, O O
yes O O
, O O
but O O
that O O
is O O
a O O
hypothetical O O
question O O
. O O
" O O

alatas B-PER O
said O O
on O O
tuesday O O
that O O
on O O
his O O
way O O
back O O
from O O
oslo B-LOC O
, O O
belo B-PER O
would O O
visit O O
the O O
vatican B-LOC B-LOC
to O O
see O O
the O O
pope O O
, O O
and O O
would O O
also O O
meet O O
german B-MISC B-MISC
chancellor O O
helmut B-PER O
kohl I-PER O
in O O
bonn B-LOC O
. O O

kohl B-PER B-LOC
had O O
wanted O O
to O O
meet O O
belo B-PER O
during O O
the O O
chancellor O O
's O O
official O O
visit O O
to O O
indonesia B-LOC B-LOC
last O O
month O O
, O O
but O O
the O O
bishop O O
was O O
too O O
busy O O
in O O
east B-LOC O
timor I-LOC O
to O O
come O O
to O O
jakarta B-LOC O
. O O

china B-LOC B-LOC
to O O
open O O
port O O
in O O
hainan B-LOC O
to O O
foreign O O
ships O O
. O O

BEIJING B-LOC B-LOC
1996-12-06 O O

china B-LOC B-LOC
's O O
state B-ORG O
council I-ORG O
, O O
or O O
cabinet O O
, O O
has O O
given O O
a O O
port O O
in O O
the O O
southern O O
province O O
of O O
hainan B-LOC O
permission O O
to O O
open O O
to O O
foreign O O
vessels O O
, O O
the O O
xinhua B-ORG O
news O O
agency O O
said O O
on O O
friday O O
. O O

xinhua B-ORG B-ORG
did O O
not O O
say O O
when O O
qinglan B-LOC O
port O O
in O O
wenchang B-LOC O
city O O
would O O
be O O
opened O O
to O O
foreign O O
vessels O O
. O O

wenchang B-LOC O
has O O
built O O
a O O
berth O O
for O O
5,000 O O
deadweight-tonne O O
container O O
ships O O
at O O
the O O
port O O
and O O
invested O O
34 O O
million O O
yuan O O
( O O
$ O O
4.1 O O
million O O
) O O
to O O
dredge O O
the O O
harbour O O
, O O
xinhua B-ORG O
said O O
. O O

it O O
gave O O
no O O
further O O
details O O
. O O

( O O
$ O O
1 O O
= O O
8.3 O O
yuan O O
) O O

government O O
disperses O O
protest O O
with O O
water O O
cannons O O
. O O

RANGOON B-LOC O
1996-12-07 O O

burmese B-MISC B-MISC
troops O O
and O O
riot O O
police O O
moved O O
in O O
to O O
disperse O O
a O O
student O O
street O O
protest O O
at O O
a O O
suburban O O
road O O
junction O O
near O O
the O O
ranyon B-ORG O
( I-ORG O
rangoon I-ORG O
) I-ORG O
university I-ORG O
early O O
on O O
saturday O O
, O O
witnesses O O
said O O
. O O

they O O
said O O
police O O
and O O
troops O O
used O O
water O O
cannons O O
from O O
fire O O
engines O O
to O O
subdue O O
about O O
120 O O
university O O
students O O
sitting O O
in O O
at O O
the O O
centre O O
of O O
the O O
junction O O
at O O
about O O
3 O O
a.m. O O
before O O
they O O
moved O O
in O O
to O O
round O O
them O O
up O O
. O O

the O O
students O O
, O O
who O O
had O O
staged O O
an O O
11-hour O O
protest O O
at O O
the O O
junction O O
in O O
northern O O
rangoon B-LOC O
, O O
were O O
taken O O
away O O
in O O
three O O
vehicles O O
. O O

the O O
witnesses O O
said O O
some O O
of O O
the O O
students O O
were O O
hit O O
with O O
batons O O
while O O
they O O
were O O
herded O O
onto O O
the O O
vehicles O O
and O O
it O O
was O O
believed O O
they O O
were O O
taken O O
to O O
the O O
insein B-LOC O
prison O O
in O O
suburban O O
rangoon B-LOC O
. O O

the O O
protesting O O
students O O
, O O
mostly O O
from O O
rangoon B-ORG O
university I-ORG O
, O O
were O O
demanding O O
the O O
right O O
to O O
organise O O
independent O O
unions O O
on O O
campuses O O
and O O
the O O
release O O
of O O
about O O
80 O O
student O O
leaders O O
currently O O
in O O
jail O O
. O O

they O O
were O O
among O O
500 O O
students O O
who O O
started O O
demonstrating O O
at O O
the O O
intersection O O
on O O
late O O
friday O O
afternoon O O
. O O

the O O
protest O O
was O O
the O O
second O O
major O O
one O O
in O O
five O O
days O O
in O O
the O O
capital O O
. O O

burmese B-MISC B-MISC
students O O
march O O
briefly O O
out O O
of O O
campus O O
. O O

vithoon B-PER O
amorn I-PER O

RANGOON B-LOC O
1996-12-06 O O

about O O
200 O O
burmese B-MISC O
students O O
marched O O
briefly O O
from O O
troubled O O
yangon B-ORG O
institute I-ORG O
of I-ORG O
technology I-ORG O
in O O
northern O O
rangoon B-LOC O
on O O
friday O O
towards O O
the O O
university B-ORG O
of I-ORG O
yangon I-ORG O
six O O
km O O
( O O
four O O
miles O O
) O O
away O O
, O O
and O O
returned O O
to O O
their O O
campus O O
, O O
witnesses O O
said O O
. O O

seven O O
truckloads O O
of O O
armed O O
riot O O
police O O
and O O
three O O
fire O O
engines O O
were O O
on O O
standby O O
at O O
one O O
of O O
the O O
junctions O O
near O O
the O O
institute O O
. O O

there O O
were O O
no O O
clashes O O
. O O

" O O
they O O
are O O
now O O
back O O
in O O
the O O
YIT B-ORG O
campus O O
, O O
" O O
an O O
institute O O
official O O
who O O
declined O O
to O O
be O O
identified O O
told O O
reuters B-ORG B-ORG
by O O
telephone O O
. O O

one O O
of O O
two O O
roads O O
leading O O
to O O
the O O
university B-ORG O
of I-ORG O
yangon I-ORG O
from O O
the O O
institute O O
had O O
been O O
closed O O
by O O
authorities O O
. O O

but O O
about O O
300 O O
university O O
students O O
were O O
still O O
gathered O O
outside O O
the O O
gates O O
of O O
their O O
campus O O
, O O
witnesses O O
said O O
. O O

they O O
were O O
singing O O
peacefully O O
. O O

on O O
monday O O
and O O
tuesday O O
, O O
students O O
from O O
the O O
institute O O
and O O
the O O
university O O
launched O O
protests O O
against O O
what O O
they O O
said O O
was O O
unfair O O
handling O O
by O O
police O O
of O O
a O O
brawl O O
between O O
some O O
of O O
their O O
colleagues O O
and O O
restaurant O O
owners O O
in O O
october O O
. O O

on O O
tuesday O O
and O O
wednesday O O
, O O
opposition O O
leader O O
aung B-PER O
san I-PER B-LOC
suu I-PER O
kyi I-PER O
was O O
restricted O O
to O O
her O O
home O O
by O O
the O O
military O O
government O O
to O O
prevent O O
her O O
from O O
being O O
drawn O O
into O O
the O O
protests O O
. O O

she O O
was O O
allowed O O
to O O
move O O
freely O O
on O O
thursday O O
. O O

the O O
protest O O
culminated O O
at O O
dawn O O
on O O
tuesday O O
with O O
several O O
hundred O O
students O O
being O O
detained O O
briefly O O
by O O
police O O
in O O
central O O
rangoon B-LOC O
. O O

the O O
street O O
protests O O
were O O
the O O
biggest O O
seen O O
in O O
the O O
capital O O
since O O
the O O
student-led O O
pro-democracry O O
demonstrations O O
of O O
september O O
1988 O O
when O O
the O O
junta O O
crushed O O
the O O
uprising O O
. O O

thousands O O
were O O
killed O O
or O O
imprisoned O O
. O O

earlier O O
on O O
friday O O
some O O
of O O
the O O
students O O
, O O
who O O
were O O
held O O
briefly O O
by O O
police O O
during O O
the O O
protests O O
earlier O O
this O O
week O O
, O O
said O O
they O O
were O O
still O O
dissatisfied O O
with O O
the O O
military O O
government O O
. O O

they O O
told O O
reuters B-ORG B-ORG
they O O
were O O
unhappy O O
that O O
the O O
ruling O O
state B-ORG O
law I-ORG O
and I-ORG O
order I-ORG O
restoration I-ORG O
council I-ORG O
( O O
SLORC B-ORG O
) O O
had O O
not O O
heeded O O
their O O
calls O O
for O O
the O O
right O O
to O O
organise O O
independent O O
unions O O
on O O
campus O O
. O O

" O O
we O O
still O O
want O O
government O O
answers O O
to O O
our O O
demands O O
. O O

we O O
want O O
police O O
punishment O O
to O O
be O O
published O O
in O O
newspapers O O
, O O
" O O
one O O
student O O
said O O
. O O

but O O
the O O
students O O
stressed O O
their O O
protests O O
were O O
non-political O O
and O O
they O O
had O O
no O O
contact O O
with O O
suu B-PER O
kyi I-PER O
's O O
national B-ORG O
league I-ORG O
for I-ORG O
democracy I-ORG O
( O O
NLD B-ORG O
) O O
. O O

suu B-PER O
kyi I-PER O
, O O
a O O
nobel B-MISC O
laureate O O
and O O
daughter O O
of O O
independence O O
hero O O
aung B-PER O
san I-PER B-LOC
, O O
and O O
key O O
NLD B-ORG O
officials O O
have O O
also O O
denied O O
any O O
link O O
with O O
the O O
students O O
. O O

but O O
they O O
have O O
said O O
both O O
parties O O
had O O
a O O
" O O
moral O O
link O O
" O O
in O O
that O O
they O O
were O O
against O O
police O O
brutality O O
and O O
injustice O O
. O O

the O O
students O O
also O O
demanded O O
the O O
government O O
announce O O
punishments O O
meted O O
out O O
to O O
policemen O O
who O O
they O O
said O O
had O O
manhandled O O
students O O
involved O O
in O O
a O O
brawl O O
with O O
some O O
restaurant O O
owners O O
near O O
the O O
yangon B-LOC O
institute O O
in O O
october O O
. O O

the O O
students O O
appealed O O
to O O
the O O
government O O
not O O
to O O
close O O
the O O
institute O O
because O O
of O O
their O O
latest O O
demonstration O O
. O O

the O O
institute O O
was O O
shut O O
for O O
nearly O O
two O O
years O O
after O O
the O O
1988 O O
uprising O O
. O O

on O O
friday O O
, O O
the O O
road O O
leading O O
to O O
suu B-PER O
kyi I-PER O
's O O
lakeside O O
residence O O
in O O
central O O
rangoon B-LOC O
remained O O
closed O O
by O O
police O O
. O O

union O I-ORG
leaders O O
outraged O O
by O O
WTO B-ORG O
snub O O
to O O
ILO B-ORG O
head O O
. O O

SINGAPORE B-LOC B-LOC
1996-12-06 O O

international O O
trade O O
union O I-ORG
leaders O O
on O O
friday O O
expressed O O
outrage O O
that O O
the O O
head O O
of O O
the O O
international B-ORG O
labour I-ORG O
organisation I-ORG O
( O O
ILO B-ORG O
) O O
had O O
been O O
barred O O
from O O
speaking O O
at O O
next O O
week O O
's O O
WTO B-ORG O
meeting O O
in O O
singapore B-LOC B-LOC
. O O

bill B-PER B-PER
jordan I-PER B-LOC
, O O
general O O
secretary O O
of O O
the O O
international B-ORG O
confederation I-ORG O
of I-ORG O
free I-ORG O
trade I-ORG O
unions I-ORG O
( O O
ICFTU B-ORG O
) O O
, O O
told O O
a O O
news O O
conference O O
the O O
withdrawal O O
of O O
a O O
WTO B-ORG O
invitation O O
to O O
ILO B-ORG O
director O O
general O O
michel B-PER B-PER
hansenne I-PER O
was O O
" O O
outrageous O O
behaviour O O
on O O
the O O
part O O
of O O
an O O
organisation O O
that O O
wants O O
to O O
command O O
respect O O
in O O
the O O
world O O
" O O
. O O

jordan B-PER B-LOC
said O O
a O O
small O O
group O O
of O O
developing O O
nations O O
that O O
oppose O O
linking O O
trade O O
talks O O
and O O
labour O O
conditions O O
had O O
pressured O O
world B-ORG O
trade I-ORG O
organisation I-ORG O
( O O
WTO B-ORG O
) O O
officials O O
to O O
prevent O O
hansenne O O
from O O
taking O O
the O O
platform O O
to O O
urge O O
such O O
links O O
. O O

" O O
it O O
is O O
to O O
their O O
shame O O
that O O
those O O
who O O
are O O
responsible O O
for O O
encouraging O O
this O O
meeting O O
responded O O
( O O
to O O
the O O
pressure O O
) O O
in O O
silencing O O
him O O
, O O
" O O
jordan B-PER B-LOC
said O O
after O O
the O O
opening O O
of O O
an O O
ICFTU B-ORG O
conference O O
on O O
international O O
labour O O
standards O O
and O O
trade O O
. O O

the O O
three-day O O
trade O O
union O O
conference O O
in O O
singapore B-LOC B-LOC
hopes O O
to O O
push O O
labour O O
issues O O
onto O O
the O O
WTO B-ORG O
agenda O O
. O O

jordan B-PER B-LOC
said O O
the O O
WTO B-ORG O
's O O
credibility O O
was O O
at O O
stake O O
over O O
the O O
issue O O
of O O
trade O O
and O O
labour O O
. O O

the O O
ICFTU B-ORG O
said O O
it O O
wanted O O
the O O
WTO B-ORG O
conference O O
beginning O O
on O O
monday O O
to O O
outlaw O O
forced O O
and O O
child O O
labour O O
, O O
end O O
discrimination O O
in O O
hiring O O
, O O
and O O
guarantee O O
the O O
right O O
to O O
join O O
a O O
union O O
. O O

bill B-PER B-PER
brett I-PER B-ORG
, O O
chairman O O
of O O
the O O
ILO B-ORG O
workers I-ORG O
group I-ORG O
, O O
told O O
reuters B-ORG B-ORG
before O O
the O O
news O O
conference O O
he O O
was O O
" O O
not O O
too O O
surprised O O
, O O
but O O
very O O
disappointed O O
" O O
that O O
the O O
speaking O O
invitation O O
had O O
been O O
withdrawn O O
. O O

" O O
some O O
governments O O
are O O
very O O
determined O O
to O O
stop O O
the O O
issue O O
( O O
of O O
trade O O
and O O
labour O O
rights O O
) O O
being O O
discussed O O
, O O
" O O
he O O
said O O
, O O
adding O O
that O O
the O O
association B-ORG O
of I-ORG O
southeast I-ORG O
asian I-ORG O
nations I-ORG O
( O O
ASEAN B-ORG O
) O O
seemed O O
particularly O O
hostile O O
to O O
the O O
ILO B-ORG O
agenda O O
. O O

ASEAN B-ORG O
groups O O
brunei B-LOC O
, O O
indonesia B-LOC B-LOC
, O O
malaysia B-LOC B-LOC
, O O
the O O
philippines B-LOC B-LOC
, O O
singapore B-LOC B-LOC
, O O
thailand B-LOC B-LOC
and O O
vietnam B-LOC O
. O O

the O O
ILO B-ORG O
wants O O
a O O
trade O O
and O O
labour O O
rights O O
" O O
social O O
clause O O
" O O
included O O
in O O
the O O
final O O
ministerial O O
statement O O
issued O O
by O O
WTO B-ORG O
leaders O O
at O O
the O O
end O O
of O O
the O O
meeting O O
, O O
the O O
organization O O
's O O
first O O
ministerial-level O O
gathering O O
. O O

speaking O O
to O O
ICFTU B-ORG O
delegates O O
, O O
richard B-PER B-PER
eglin I-PER O
, O O
director O O
of O O
the O O
WTO B-ORG O
secretariat O O
, O O
said O O
the O O
WTO B-ORG O
was O O
capable O O
of O O
making O O
a O O
significant O O
contribution O O
to O O
governmental O O
efforts O O
to O O
solve O O
social O O
problems O O
. O O

but O O
he O O
said O O
the O O
WTO B-ORG O
's O O
organisational O O
structure O O
made O O
it O O
difficult O O
to O O
impose O O
on O O
its O O
members O O
a O O
social O O
clause O O
such O O
as O O
that O O
called O O
for O O
by O O
the O O
ILO B-ORG O
. O O

indian B-MISC B-MISC
rubber O O
demand O O
seen O O
outstripping O O
production O O
. O O

SINGAPORE B-LOC B-LOC
1996-12-06 O O

indian B-MISC B-MISC
rubber O O
demand O O
is O O
seen O O
outpacing O O
local O O
production O O
in O O
the O O
1996/97 O O
april O O
/ O O
march O O
season O O
and O O
the O O
trend O O
will O O
persist O O
way O O
into O O
the O O
next O O
century O O
, O O
the O O
chairman O O
of O O
the O O
rubber B-ORG O
board I-ORG O
of I-ORG O
india I-ORG B-LOC
said O O
on O O
friday O O
. O O

K.J. B-PER O
matthew I-PER B-PER
said O O
at O O
the O O
asia B-MISC O
rubber I-MISC O
markets I-MISC O
meeting I-MISC O
here O O
indian B-MISC O
production O O
of O O
natural O O
rubber O O
in O O
1996/97 O O
will O O
reach O O
547,000 O O
tonnes O O
against O O
projected O O
demand O O
of O O
578,000 O O
tonnes O O
, O O
a O O
gap O O
of O O
31,000 O O
tonnes O O
. O O

for O O
synthetic O O
rubber O O
, O O
production O O
reached O O
68,200 O O
tonnes O O
in O O
1995/96 O O
while O O
consumption O O
in O O
the O O
same O O
season O O
hit O O
134,085 O O
tonnes O O
, O O
matthew B-PER O
added O O
. O O

" O O
though O O
schemes O O
designed O O
to O O
realise O O
further O O
increases O O
in O O
the O O
production O O
of O O
natural O O
rubber O O
are O O
being O O
operated O O
successfully O O
, O O
the O O
demand-supply O O
gap O O
is O O
expected O O
to O O
widen O O
, O O
" O O
he O O
said O O
. O O

indian B-MISC B-MISC
synthetic O O
rubber O O
output O O
is O O
not O O
expected O O
to O O
rise O O
significantly O O
in O O
the O O
next O O
season O O
but O O
demand O O
will O O
rise O O
to O O
145,000 O O
tonnes O O
. O O

matthew B-PER B-PER
estimates O I-PER
that O O
by O O
the O O
2000/01 O O
season O O
, O O
the O O
gap O O
between O O
natural O O
rubber O O
output O O
and O O
consumption O O
will O O
rise O O
to O O
51,000 O O
tonnes O O
and O O
319,000 O O
tonnes O O
in O O
2010/11 O O
. O O

natural O B-PER
rubber O O
production O O
will O O
go O O
up O O
to O O
695,000 O O
tonnes O O
in O O
2000/01 O O
against O O
consumption O O
of O O
746,000 O O
tonnes O O
. O O

in O O
2010/11 O O
, O O
domestic O O
demand O O
should O O
rise O O
further O O
to O O
1.233 O O
million O O
tonnes O O
while O O
production O O
will O O
only O O
reach O O
about O O
914,000 O O
tonnes O O
. O O

one O O
way O O
to O O
bridge O O
the O O
widening O O
gap O O
is O O
to O O
put O O
more O O
land O O
under O O
cultivation O O
which O O
the O O
rubber B-ORG O
board I-ORG O
official O O
estimates O O
will O O
reach O O
220,000 O O
hectares O O
between O O
now O O
and O O
the O O
year O O
2003 O O
although O O
matthew B-PER O
said O O
this O O
may O O
not O O
be O O
possible O O
at O O
this O O
time O O
in O O
india B-LOC B-LOC
. O O

" O O
the O O
development O O
objective O O
for O O
the O O
rubber O O
plantation O O
industry O O
will O O
be O O
to O O
increase O O
production O O
to O O
the O O
best O O
extent O O
possibly O O
with O O
a O O
view O O
to O O
minimising O O
imports O O
of O O
natural O O
rubber O O
, O O
" O O
he O O
said O O
. O O

-- O O
singapore B-ORG B-LOC
newsroom I-ORG O
( O O
65-8703305 O O
) O O

japan B-LOC B-LOC
's O O
authorities O O
seen O O
seeking O O
to O O
rein O O
in O O
dollar O O
. O O

george B-PER B-PER
nishiyama I-PER I-PER

TOKYO B-LOC B-LOC
1996-12-06 O O

comments O O
by O O
japan B-LOC B-LOC
's O O
tight-lipped O O
central O O
bank O O
chief O O
and O O
an O O
influential O O
top O O
bureaucrat O O
are O O
further O O
signs O O
that O O
the O O
nation O O
's O O
authorities O O
want O O
to O O
keep O O
the O O
dollar O O
at O O
current O O
levels O O
, O O
market O O
sources O O
said O O
on O O
friday O O
. O O

in O O
a O O
rare O O
expression O O
of O O
a O O
view O O
on O O
currencies O O
by O O
the O O
bank B-ORG O
of I-ORG O
japan I-ORG B-LOC
( O O
BOJ B-ORG O
) O O
governor O O
, O O
yasuo B-PER O
matsushita I-PER O
was O O
quoted O O
in O O
japan B-LOC B-LOC
's O O
leading O O
economic O O
daily O O
on O O
friday O O
as O O
saying O O
that O O
he O O
sees O O
no O O
further O O
, O O
immediate O O
fall O O
in O O
the O O
yen O O
. O O

this O O
followed O O
a O O
widely O O
watched O O
television O O
appearance O O
late O O
on O O
thursday O O
by O O
eisuke B-PER O
sakakibara I-PER O
, O O
a O O
high-ranking O O
finance B-ORG O
ministry I-ORG O
official O O
, O O
who O O
denied O O
he O O
had O O
said O O
he O O
wants O O
to O O
guide O O
the O O
dollar O O
lower O O
to O O
between O O
108 O O
and O O
110 O O
yen O O
. O O

but O O
many O O
in O O
the O O
market O O
thought O O
sakakibara B-PER O
's O O
real O O
intentions O O
lay O O
elsewhere O O
, O O
and O O
took O O
more O O
notice O O
of O O
his O O
comments O O
about O O
the O O
U.S. B-LOC O
government O O
's O O
stance O O
on O O
the O O
dollar O O
, O O
dealers O O
said O O
. O O

" O O
I O O
think O O
his O O
views O O
on O O
( O O
U.S. B-ORG O
treasury I-ORG O
secretary O O
robert B-PER B-PER
) O I-PER
rubin B-PER B-PER
's O O
comments O O
were O O
indeed O O
what O O
he O O
himself O O
thinks O O
about O O
the O O
dollar O O
, O O
" O O
said O O
hank B-PER O
note I-PER O
, O O
chief O O
dealer O O
at O O
sumitomo B-ORG O
bank I-ORG O
. O O

asked O O
about O O
rubin B-PER O
's O O
comment O O
that O O
a O O
strong O O
dollar O O
was O O
in O O
U.S. B-LOC B-LOC
interests O O
, O O
sakakibara B-PER O
said O O
the O O
remark O O
does O O
not O O
necessarily O O
mean O O
the O O
united B-LOC O
states I-LOC I-LOC
supports O O
a O O
stronger O O
dollar O O
. O O

" O O
it O O
's O O
a O O
strong O O
dollar O O
, O O
not O O
stronger O O
. O O

in O O
that O O
sense O O
, O O
the O O
comments O O
are O O
not O O
pointing O O
to O O
a O O
certain O O
direction O O
, O O
" O O
he O O
said O O
. O O

" O O
it O O
shows O O
that O O
sakakibara B-PER O
is O O
not O O
for O O
a O O
stronger O O
dollar O O
either O O
, O O
" O O
said O O
sumitomo B-ORG O
's O O
note B-PER O
. O O

takao B-PER O
sakoh I-PER O
, O O
first O O
vice O O
president O O
at O O
union B-ORG O
bank I-ORG O
of I-ORG O
switzerland I-ORG B-LOC
in O O
tokyo B-LOC B-LOC
, O O
said O O
: O O
" O O
maybe O O
a O O
dollar O O
at O O
104.50 O O
yen O O
is O O
not O O
acceptable O O
( O O
to O O
sakakibara B-PER O
) O O
, O O
but O O
it O O
may O O
be O O
okay O O
at O O
the O O
current O O
level O O
, O O
at O O
the O O
lower O O
end O O
of O O
112 O O
yen O O
. O O
" O O

market O O
participants O O
have O O
kept O O
a O O
close O O
eye O O
on O O
sakakibara B-PER O
, O O
chief O O
of O O
the O O
ministry O O
's O O
international B-ORG O
finance I-ORG O
bureau I-ORG O
, O O
as O O
a O O
comment O O
he O O
made O O
in O O
november O O
after O O
the O O
dollar O O
hit O O
this O O
year O O
's O O
high O O
of O O
114.92 O O
yen O O
pushed O O
the O O
currency O O
down O O
sharply O O
. O O

he O O
had O O
said O O
then O O
that O O
the O O
market O O
's O O
view O O
on O O
japan B-LOC B-LOC
's O O
economy O O
was O O
too O O
pessimistic O O
and O O
that O O
he O O
believed O O
it O O
was O O
stronger O O
than O O
the O O
market O O
thought O O
. O O

dealers O O
have O O
come O O
to O O
refer O O
to O O
115 O O
yen O O
as O O
the O O
" O O
sakakibara B-PER O
ceiling O O
" O O
for O O
the O O
dollar O O
following O O
the O O
remark O O
. O O

adding O O
to O O
the O O
comments O O
by O O
" O O
mr B-PER O
yen I-PER O
" O O
, O O
as O O
sakakibara B-PER O
is O O
known O O
for O O
his O O
prominence O O
in O O
the O O
currency O O
market O O
, O O
was O O
